numero,recinto
2027367,U.E. San Ignacio
2027351,U.E. San Ignacio
2027341,U.E. San Ignacio
2027361,U.E. San Ignacio
2027331,U.E. San Ignacio
2027327,U.E. San Ignacio
2027371,U.E. San Ignacio
2027337,U.E. San Ignacio
2027347,U.E. San Ignacio
2027321,U.E. San Ignacio
2027377,U.E. San Ignacio
2027357,U.E. San Ignacio
2018871,U.E. Gral. José de San Martin
2018891,U.E. Gral. José de San Martin
2018877,U.E. Gral. José de San Martin
2018917,U.E. Gral. José de San Martin
2018887,U.E. Gral. José de San Martin
2018907,U.E. Gral. José de San Martin
2018901,U.E. Gral. José de San Martin
2018911,U.E. Gral. José de San Martin
2018921,U.E. Gral. José de San Martin
2018897,U.E. Gral. José de San Martin
2018927,U.E. Gral. José de San Martin
2018881,U.E. Gral. José de San Martin
2075111,U. E. Simon Bolivar
2075117,U. E. Simon Bolivar
2020147,U.E. 24 de Junio A
2020111,U.E. 24 de Junio A
2020101,U.E. 24 de Junio A
2020097,U.E. 24 de Junio A
2020137,U.E. 24 de Junio A
2020117,U.E. 24 de Junio A
2020127,U.E. 24 de Junio A
2020131,U.E. 24 de Junio A
2020091,U.E. 24 de Junio A
2020107,U.E. 24 de Junio A
2020141,U.E. 24 de Junio A
2020121,U.E. 24 de Junio A
2011017,U. E. Marien Garten A
2010997,U. E. Marien Garten A
2011001,U. E. Marien Garten A
2011007,U. E. Marien Garten A
2010987,U. E. Marien Garten A
2010981,U. E. Marien Garten A
2011011,U. E. Marien Garten A
2010991,U. E. Marien Garten A
2011021,U. E. Marien Garten A
2011027,U. E. Marien Garten A
2089481,Esc. San Pedro
2089487,Esc. San Pedro
2042141,U. E. Fernando Nogales Castro Fe y Alegría
2042157,U. E. Fernando Nogales Castro Fe y Alegría
2042127,U. E. Fernando Nogales Castro Fe y Alegría
2042167,U. E. Fernando Nogales Castro Fe y Alegría
2042121,U. E. Fernando Nogales Castro Fe y Alegría
2042131,U. E. Fernando Nogales Castro Fe y Alegría
2042151,U. E. Fernando Nogales Castro Fe y Alegría
2042161,U. E. Fernando Nogales Castro Fe y Alegría
2042147,U. E. Fernando Nogales Castro Fe y Alegría
2042111,U. E. Fernando Nogales Castro Fe y Alegría
2042117,U. E. Fernando Nogales Castro Fe y Alegría
2042137,U. E. Fernando Nogales Castro Fe y Alegría
2064477,Col. Antofagasta
2064471,Col. Antofagasta
2012841,U.E. Natalia Palacios
2012847,U.E. Natalia Palacios
2012811,U.E. Natalia Palacios
2012817,U.E. Natalia Palacios
2012827,U.E. Natalia Palacios
2012821,U.E. Natalia Palacios
2012831,U.E. Natalia Palacios
2012837,U.E. Natalia Palacios
2012801,U.E. Natalia Palacios
2012807,U.E. Natalia Palacios
2063277,Escuela Chua Cocani
2063281,Escuela Chua Cocani
2063307,Escuela Chua Cocani
2063297,Escuela Chua Cocani
2063271,Escuela Chua Cocani
2063287,Escuela Chua Cocani
2063301,Escuela Chua Cocani
2063291,Escuela Chua Cocani
2015567,Complejo Deportivo Camiri
2015521,Complejo Deportivo Camiri
2015557,Complejo Deportivo Camiri
2015561,Complejo Deportivo Camiri
2015531,Complejo Deportivo Camiri
2015547,Complejo Deportivo Camiri
2015541,Complejo Deportivo Camiri
2015527,Complejo Deportivo Camiri
2015537,Complejo Deportivo Camiri
2015551,Complejo Deportivo Camiri
2063961,Esc. Pedro Domingo Murillo
2063967,Esc. Pedro Domingo Murillo
2069797,U. E. Nazario Pardo Valle
2069807,U. E. Nazario Pardo Valle
2069801,U. E. Nazario Pardo Valle
2069791,U. E. Nazario Pardo Valle
2069787,U. E. Nazario Pardo Valle
2069781,U. E. Nazario Pardo Valle
2087881,Esc. Tituza
2087887,Esc. Tituza
2078821,Colegio Inicua Alto
2078801,Colegio Inicua Alto
2078837,Colegio Inicua Alto
2078827,Colegio Inicua Alto
2078807,Colegio Inicua Alto
2078831,Colegio Inicua Alto
2078817,Colegio Inicua Alto
2078811,Colegio Inicua Alto
2074521,Escuela Sixilla Baja
2074527,Escuela Sixilla Baja
2074537,Escuela Sixilla Baja
2074531,Escuela Sixilla Baja
2016791,U.E. Simón Rodriguez Carreño
2016817,U.E. Simón Rodriguez Carreño
2016777,U.E. Simón Rodriguez Carreño
2016787,U.E. Simón Rodriguez Carreño
2016797,U.E. Simón Rodriguez Carreño
2016811,U.E. Simón Rodriguez Carreño
2016807,U.E. Simón Rodriguez Carreño
2016801,U.E. Simón Rodriguez Carreño
2016771,U.E. Simón Rodriguez Carreño
2016781,U.E. Simón Rodriguez Carreño
2064207,Esc. Achiri
2064237,Esc. Achiri
2064221,Esc. Achiri
2064231,Esc. Achiri
2064211,Esc. Achiri
2064197,Esc. Achiri
2064201,Esc. Achiri
2064217,Esc. Achiri
2064227,Esc. Achiri
2064191,Esc. Achiri
2076541,Escuela Central Uyuni
2076551,Escuela Central Uyuni
2076547,Escuela Central Uyuni
2076557,Escuela Central Uyuni
2044997,U.E. Carlos Palenque Avilés
2044987,U.E. Carlos Palenque Avilés
2044991,U.E. Carlos Palenque Avilés
2045027,U.E. Carlos Palenque Avilés
2045017,U.E. Carlos Palenque Avilés
2045021,U.E. Carlos Palenque Avilés
2045007,U.E. Carlos Palenque Avilés
2044981,U.E. Carlos Palenque Avilés
2045011,U.E. Carlos Palenque Avilés
2045001,U.E. Carlos Palenque Avilés
2064071,Esc. Central
2064077,Esc. Central
2064087,Esc. Central
2064081,Esc. Central
2058477,U.E. Católico Mercedes B
2058517,U.E. Católico Mercedes B
2058481,U.E. Católico Mercedes B
2058501,U.E. Católico Mercedes B
2058497,U.E. Católico Mercedes B
2058527,U.E. Católico Mercedes B
2058507,U.E. Católico Mercedes B
2058511,U.E. Católico Mercedes B
2058521,U.E. Católico Mercedes B
2058471,U.E. Católico Mercedes B
2058491,U.E. Católico Mercedes B
2058487,U.E. Católico Mercedes B
2045877,U.E. The Strongest
2045861,U.E. The Strongest
2045881,U.E. The Strongest
2045891,U.E. The Strongest
2045917,U.E. The Strongest
2045911,U.E. The Strongest
2045871,U.E. The Strongest
2045887,U.E. The Strongest
2045901,U.E. The Strongest
2045907,U.E. The Strongest
2045897,U.E. The Strongest
2045867,U.E. The Strongest
2049021,U.E. Rafael Mendoza Castellón B
2049027,U.E. Rafael Mendoza Castellón B
2049017,U.E. Rafael Mendoza Castellón B
2048997,U.E. Rafael Mendoza Castellón B
2049047,U.E. Rafael Mendoza Castellón B
2049007,U.E. Rafael Mendoza Castellón B
2049001,U.E. Rafael Mendoza Castellón B
2048991,U.E. Rafael Mendoza Castellón B
2049057,U.E. Rafael Mendoza Castellón B
2049051,U.E. Rafael Mendoza Castellón B
2049011,U.E. Rafael Mendoza Castellón B
2049031,U.E. Rafael Mendoza Castellón B
2049037,U.E. Rafael Mendoza Castellón B
2049041,U.E. Rafael Mendoza Castellón B
2044631,U.E. Villa Tunari
2044641,U.E. Villa Tunari
2044621,U.E. Villa Tunari
2044627,U.E. Villa Tunari
2044607,U.E. Villa Tunari
2044637,U.E. Villa Tunari
2044651,U.E. Villa Tunari
2044601,U.E. Villa Tunari
2044657,U.E. Villa Tunari
2044647,U.E. Villa Tunari
2044611,U.E. Villa Tunari
2044617,U.E. Villa Tunari
2023407,U. E. Los Pinos
2023417,U. E. Los Pinos
2023441,U. E. Los Pinos
2023411,U. E. Los Pinos
2023397,U. E. Los Pinos
2023401,U. E. Los Pinos
2023391,U. E. Los Pinos
2023427,U. E. Los Pinos
2023437,U. E. Los Pinos
2023447,U. E. Los Pinos
2023421,U. E. Los Pinos
2023431,U. E. Los Pinos
2079027,U.E. Agua Dulce
2079021,U.E. Agua Dulce
2028567,Sede Social de la Comunidad de Ananta
2028561,Sede Social de la Comunidad de Ananta
2081657,U.E. Sequeri
2081651,U.E. Sequeri
2058071,U.E. Tarapaca Junthuma B
2058061,U.E. Tarapaca Junthuma B
2058031,U.E. Tarapaca Junthuma B
2058067,U.E. Tarapaca Junthuma B
2058037,U.E. Tarapaca Junthuma B
2058041,U.E. Tarapaca Junthuma B
2058051,U.E. Tarapaca Junthuma B
2058081,U.E. Tarapaca Junthuma B
2058077,U.E. Tarapaca Junthuma B
2058087,U.E. Tarapaca Junthuma B
2058057,U.E. Tarapaca Junthuma B
2058047,U.E. Tarapaca Junthuma B
2068011,Escuela XVI De Julio
2067991,Escuela XVI De Julio
2068001,Escuela XVI De Julio
2068007,Escuela XVI De Julio
2068021,Escuela XVI De Julio
2068031,Escuela XVI De Julio
2068037,Escuela XVI De Julio
2068027,Escuela XVI De Julio
2068017,Escuela XVI De Julio
2067997,Escuela XVI De Julio
2063691,U. E. Kalaque
2063681,U. E. Kalaque
2063697,U. E. Kalaque
2063677,U. E. Kalaque
2063671,U. E. Kalaque
2063687,U. E. Kalaque
2005757,U.E. Faro Murillo
2005781,U.E. Faro Murillo
2005751,U.E. Faro Murillo
2005777,U.E. Faro Murillo
2005761,U.E. Faro Murillo
2005791,U.E. Faro Murillo
2005787,U.E. Faro Murillo
2005797,U.E. Faro Murillo
2005807,U.E. Faro Murillo
2005771,U.E. Faro Murillo
2005801,U.E. Faro Murillo
2005767,U.E. Faro Murillo
2035077,U.E. Simón Bolívar
2035047,U.E. Simón Bolívar
2035021,U.E. Simón Bolívar
2035057,U.E. Simón Bolívar
2035037,U.E. Simón Bolívar
2035027,U.E. Simón Bolívar
2035067,U.E. Simón Bolívar
2035031,U.E. Simón Bolívar
2035071,U.E. Simón Bolívar
2035061,U.E. Simón Bolívar
2035041,U.E. Simón Bolívar
2035051,U.E. Simón Bolívar
